universidad,estado_fuente,url_altillo,url_oficial,pagina_fuente
Instituto Educativo Yolda,Estadodemexico,https://www.altillo.com/universidades/mexico/de/estadodemexico/Instituto_Educativo_yolda.asp,http://www.yolda.com.mx,https://www.altillo.com/universidades/mexico/de/estadodemexico.asp
Instituto Educativo Yolda (EEUU),Estadodemexico,https://www.altillo.com/universidades/mexico/de/estadodemexico/Instituto_Educativo_yolda_eeuu.asp,http://www.yolda.com.mx,https://www.altillo.com/universidades/mexico/de/estadodemexico.asp
Instituto Educativo Yucatán,Yucatan,https://www.altillo.com/universidades/mexico/de/yucatan/Instituto_Educativo_Yucatan.asp,http://www.universidadpatria.edu.mx/,https://www.altillo.com/universidades/mexico/de/yucatan.asp
Instituto Eloisa Patrón de Rosado (IUEPR),Yucatan,https://www.altillo.com/universidades/mexico/de/yucatan/Instituto_Eloisa_Patron_de_Rosado_IUEPR.asp,http://www.iuepr.edu.mx/,https://www.altillo.com/universidades/mexico/de/municipio_yucatan_merida.asp
Instituto Enrique Rebsamen,Jalisco,https://www.altillo.com/universidades/mexico/de/jalisco/Instituto_Enrique_Rebsamen.asp,https://sic.cultura.gob.mx/ficha.php?table=universidad&table_id=2982,https://www.altillo.com/universidades/mexico/de/jalisco.asp
Instituto Escadia,Aguascalientes,https://www.altillo.com/universidades/mexico/de/aguascalientes/Instituto_Escadia.asp,https://escadia.mx/,https://www.altillo.com/universidades/mexico/de/aguascalientes.asp
Instituto Escolar del Sureste,Yucatan,https://www.altillo.com/universidades/mexico/de/yucatan/Instituto_Escolar_del_Sureste.asp,https://www.iesmerida.com,https://www.altillo.com/universidades/mexico/de/yucatan.asp
Instituto Especializado en Computación y Admin. Gauss Jordan (IECA),Distritofederal,https://www.altillo.com/universidades/mexico/de/distritofederal/Instituto_Especializado_en_Computacion_y_Administracion_Gauss_Jordan_IECA.asp,https://gaussjordan.edu.mx,https://www.altillo.com/universidades/mexico/de/distritofederal.asp
Instituto Estatal de Ciencias Penales y Seguridad Pública,Sinaloa,https://www.altillo.com/universidades/mexico/de/sinaloa/Instituto_Estatal_de_Ciencias_Penales_y_Seguridad_Publica.asp,http://www.inecipe.gob.mx/,https://www.altillo.com/universidades/mexico/de/sinaloa.asp
Instituto Forense de Investigaciones Latinoamericana (IFIL),Veracruz,https://www.altillo.com/universidades/mexico/de/puebla/Instituto_Forense_de_Investigaciones_Latinoamericana_IFIL.asp,http://www.ifil.org.mx,https://www.altillo.com/universidades/mexico/de/veracruz.asp
